molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL5874947,active,6.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)ncc2C(=O)Nc2ccccc2)c1,450.5020000000001,5.340600000000002,4.0,6.0
CHEMBL5903158,active,8.0,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)ncc2C(F)(F)F)c1,399.37600000000003,5.107100000000002,3.0,5.0
CHEMBL5761824,active,7.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)ncc2C(N)=O)c1,374.4040000000001,3.1872,4.0,6.0
CHEMBL5992705,active,8.0,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)ncc2C)c1,345.40600000000006,4.396720000000002,3.0,5.0
CHEMBL5791105,active,7.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)ncc2F)c1,349.369,4.227400000000001,3.0,5.0
CHEMBL3954906,active,6.698970004336019,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3OC)ncc2Br)c1,440.3010000000001,4.859400000000003,3.0,6.0
CHEMBL3903641,active,6.698970004336019,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3OC)ncc2C(F)(F)F)c1,429.4020000000001,5.115700000000002,3.0,6.0
CHEMBL3903707,active,6.187086643357144,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3OC)ncc2Cl)c1,395.85000000000014,4.750300000000003,3.0,6.0
CHEMBL6057748,inactive,5.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccnc3)ncc2F)c1,350.357,3.6224000000000007,3.0,6.0
CHEMBL5570405,active,7.638272163982407,C=CC(=O)Nc1cccc(Nc2nc(Nc3cnn(CC)c3)nc3ccc(Cl)cc23)c1,433.9030000000002,5.111300000000003,3.0,6.0
CHEMBL5930062,inactive,5.0,C=CC(=O)Nc1cccc(Nc2nc3c(c(-c4cnn(C)c4)n2)C(=O)NC3)c1,375.3920000000001,1.9885999999999993,3.0,6.0
CHEMBL5839891,inactive,5.0,C=CC(=O)Nc1cccc(Nc2nc3c(c(N(C)c4ccc(OCCOC)cc4)n2)C(=O)NC3)c1,474.52100000000024,3.3812000000000015,3.0,8.0
CHEMBL5898708,active,6.259637310505756,C=CC(=O)Nc1cccc(Nc2ncc(C)c(Nc3ccc(Oc4ccccc4)cc3)n2)c1,437.5030000000001,6.189020000000005,3.0,6.0
CHEMBL5846455,active,7.259637310505756,C=CC(=O)Nc1cccc(Nc2ncc(C)c(Nc3cccc(Br)c3)n2)c1,424.302,5.159220000000002,3.0,5.0
CHEMBL6013487,active,8.0,C=CC(=O)Nc1cccc(Nc2ncc(C)c(Nc3cccc(C)c3)n2)c1,359.43300000000005,4.705140000000003,3.0,5.0
CHEMBL5973958,active,8.0,C=CC(=O)Nc1cccc(Nc2ncc(C)c(Nc3ccccc3)n2)c1,345.406,4.396720000000002,3.0,5.0
CHEMBL2426281,active,6.755722879198157,C=CC(=O)Nc1cccc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c1,389.84600000000006,5.146400000000003,3.0,4.0
CHEMBL5747206,active,7.259637310505756,C=CC(=O)Nc1cccc(Nc2ncc(F)c(Nc3ccc(OCCOC)cc3)n2)c1,423.4480000000002,4.252600000000002,3.0,7.0
CHEMBL5983473,active,6.519274621011513,C=CC(=O)Nc1cccc(Nc2ncc(F)c(Nc3ccc(O[C@H]4CCOC4)cc3)n2)c1,435.45900000000023,4.395100000000002,3.0,7.0
CHEMBL5883659,active,8.0,C=CC(=O)Nc1cccc(Nc2ncc(F)c(Nc3cccc(C)c3)n2)c1,363.3960000000001,4.535820000000002,3.0,5.0
CHEMBL6028388,active,6.110698297493689,C=CC(=O)Nc1cccc(Nc2ncc(F)c(Nc3cccc(OCCN4CCOCC4)c3)n2)c1,478.52800000000036,3.9384000000000023,3.0,8.0
CHEMBL5823520,active,6.0,C=CC(=O)Nc1cccc(Nc2ncc(F)c(Oc3ccc(Oc4ccccc4)cc3)n2)c1,442.4500000000001,6.068400000000003,2.0,6.0
CHEMBL3290142,active,7.3819519032879075,C=CC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)cn2)c1,560.5360000000001,6.176520000000004,4.0,6.0
CHEMBL3678960,active,8.698970004336019,C=CC(=O)Nc1cccc(Nc2ncc3nc(Nc4ccccc4)n(C(C)C)c3n2)c1,413.4850000000001,5.018900000000003,3.0,6.0
CHEMBL6012059,active,8.0,C=CC(=O)Nc1cccc(Nc2nccc(Nc3cccc(C)c3)n2)c1,345.40600000000006,4.396720000000002,3.0,5.0
CHEMBL4554990,active,8.397940008672037,C=CC(=O)Nc1cccc(Nc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)c1,423.4760000000001,5.386200000000003,3.0,6.0
CHEMBL4791249,active,7.508638306165727,C=CC(=O)Nc1cccc(Nc2ncnc(Nc3ccc(C(=O)N4CCCCC4)cc3)n2)c1,443.5110000000003,4.109400000000003,3.0,7.0
CHEMBL4436337,active,8.366531544420413,C=CC(=O)Nc1cccc(Nc2ncnc3cc(OC)c(OCCN4CCOCC4)cc23)c1,449.51100000000037,3.217500000000001,2.0,8.0
CHEMBL1928947,active,7.431798275933005,C=CC(=O)Nc1cccc(Oc2cc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncn2)c1,490.92200000000014,6.508500000000004,2.0,6.0
CHEMBL4461455,active,6.853871964321762,C=CC(=O)Nc1cccc(Oc2ccnc(N)c2-c2ccc(Oc3ccccc3)cc2)c1,423.4720000000001,6.039900000000004,2.0,5.0
